rating,review
4,"Barclay's Center is a awesome venue for a Nets game, Islanders hockey team has played there as well, it's easy to get there as Atlantic ave has more trains stopping at this station than any other in NYC, the only problem with the Barclay's Center is the outside that rustic facade with a ""grass"" covered roof, idk who came up with that idea, but anyways the inside is plush comfortable and exciting for any event"
4,This time around we attended a Shawn Medes concert. We had floor seat and my daughter and her friend loved being so close to the stage.
5,"I took in WWE Raw and a Nets game within a couple of days of each other and its interesting to see the set up change so dramatically. Sadly the one thing that doesnt change is the price of food, but thats nothing new now is it! If you get a chance to glimpse the roof, its a garden!!! Cop that MSG!!!"
5,Awesome place for concerts ! Staff and security are very organized and kind. Stadium is clean and neat. Bathrooms are big and extremely clean. Highly recommend it!
5,I go here for Nets games and concerts.  It is clean and the staff is always friendly.  The food is improving but it all depends on what you like.  It is expensive but I guess that is how all arenas are.
5,"This is a very convenient location if you are traveling by LIRR, subway, or even car.  If you are driving, allow a little extra time because teh old streets get crowded during events.  There are many local restaurants and shops to visit before or after your visit.  Food is typically pricey during games and concerts, but not as outrageous as some other venues.  Very easy to move around, and easy access to doors."
5,We saw the Avett Brothers at Barclays on Saturday night. It is a good venue with plenty of bars and food options. We had good seats and enjoyed a great show. The staff was friendly and accommodating.m
4,"This was the second time I went to the Barclays Center to attend a concert. The lines were big outside but it was moving up fast. Didn’t have problems with the view from my seat, it was actually quite good having in mind that I was on the upper tier."
5,"Went for NYU Graduation. Nice stadium, many amenities, sound was excellent. In the heart of Brooklyn with easy access from several subway lines. Travel to the arena and parking can be a bear and costly too. Street parking available if you're patient and have the time. It was a long &amp; winding road and so nice to see my son get his Degree."
5,"I seen basketball games, hockey games and WWE events here. All of them great. Even always found street parking as well."
4,"Came here to watch the NYU graduation.  What a great venue: very clean environment, friendly staff, in a cute Brooklyn location.  Only issue was the graduation ran its full 3 hours so the concession stands ran out of food!"
1,"The arena is quite ok, however, the food prices are ridiculous. $16 for popcorn, $15 for a beer. Totally ruins the experience."
5,"We went a lot to watch BROOKLYN Nets basketball playing.The place is great,you get lots of food there,while watching the game. You have sport stores there."
4,Just another impromptu trip with my husband who loves basketball... From the outside you wouldn't know how nice the inside is. We had VIP access so the seats the lounge the pre-game good all very nice
5,"Brooklyn has done itself proud with the addition of this stadium; easy to reach, a delight to visit and among the most impressive and comfortable indoor stadiums."
5,Barclay Center hold many activities from sport to entertainment.Close to many restaurants and also source of transportation.City Subways and Long Island Railroad trains. Also land transporttion as in City Buses.Not sure how parking is available. All suggestions are to use public transportation.No need to go to Manhattan or NJ for Arena Entertainment.
5,"Love this stadium, entrances may be a bit confusing if its your first time. The American Express line was off to the side but very very convenient -got me in and directed me to the suites in no time. When I was trying to enter Barclays under GA was a MESS. Like any stadium expect over priced food. Live with it."
5,Saw raw at the Barclays center in April and it’s a beautiful arena and it’s great for concerts and events.
1,"I was so excited to see this show... Traveled from Long Island bumper to bumper traffic.When we get there, they were NOT letting anyone in until 630 ? Which is ridiculous!!!We wanted to sit down like adults and eat a nice meal in the revenue and have some drinks. And we’re told you can only get in if you are VIP or TSA  APPROVED ? Are you kidding me. WHERE DID IT SAY THAT ON THE TICKET. THINK ABOUT THE CROWED ? Cher is 73 years old . Don’t you think that the people coming to see her want to go inside and sit down, maybe walk around the Barclays center. WE WERE TREATED LIKE WE WERE A BUNCH OF TEENAGERS , WHAT DID YOU THINK WE WERE GONNA DO INSIDE THE STADIUM.. RIOT!! , this was the WORST PLACE TO SEE A SHOW.  WE ARE ADULTS THAT PAID MORE THEN $ 200.00 a ticket and you want to keep us standing outside . TERRIBLE  I WILL NEVER GO BACK THERE AGAIN"
3,This building is beautiful but not functional. The seats near the top are an accident waiting to happen. It is only a matter of time before someone falls and gets injured because the standing floor in the high seats is much too narrow.
4,"Sat in sec 219 decent view of the ice. Crowd  loud, but no comparison to Nassau Coliseum. Train ride here no problem left early. Stay away from sec 201 you can't see the goal"
1,"Last night (May 2, 2029) we went to the Cher “Farewell Tour” concert at the Barclays Center in Brooklyn NY. I would like to say I loved the show but unfortunately I can’t. Better to have listened to my CD collection. The Barclays Center is not a concert venue. The performance stage was set up at one end of the arena. Blocking our view were giant speakers and we saw very little of the stage effects. Barclays Center did have auxiliary viewing screens. However the viewing screens were of no help. They were positioned on the left and right sides of the stage facing out and were blocked by lighting equipment and seating. We purchased our tickets as soon as they were available. We did not buy the cheap seats. We were highly disappointed in attending this concert. With those giant speakers we should have had terrific sound. NO - the sound was absolutely terrible. It sounded like we were listening to the concert in a cave.  Cher was good not extraordinary. As you would expect the Bob Mackie costumes make Cher look fabulous (as Cher said she is 73 years young.) There was too many distractions - a 15  minute story about David Letterman, long sets of “filler” acts and acrobatics. Very disappointing we won’t be back."
5,If youre having a concert or any Major event its a good place because the subway station is right across and the facilities are in good condition so.. Have fun!
5,from down size neighborhood to architectural excellence this is  Barclays. in the  new revitalized place offering sport high night life and vibrant energy. 5 stars
5,I love going to Barclays Center for concerts and sporting events.  It is welcoming and so easy to get to.  Having a Shake Shack across the street also doesn't hurt.
4,We attended a concert.  Entry was smooth.  The visual appeal is compelling.  Lighting is great.  You feel like you are in a theater.  Audio is so-so.  Seat pitch is steep is certain areas making seating cramped.  Lots of lavs.  Maintenance of lavs is suspect. Conveniently located near subway stop; especially when you consider that parking is very limited.
1,We went to see the concert of H.E.R. and Erikah Badu as main act. Had tickets high up and the accoustic was terrible. We could not even understand what Erikah said and she is known for her interesting statements. There was another act before and between acts a D.J. who was not bad but we did come for the concert. The whole evening took 4 hours which is too long. On top of it we were so cold because the air condition was blowing a freezing cold breeze. A beer for USD 17: too expensive. What we enjoyed is watching the crowd which was really enthusiastic and great. But definitely not worth to buy a ticket for that. Public transportation accessability is great.
5,The venue is beautiful and the concert was on the money but the workers unorganized and the ushers just stand there and point fron a distance  to where you have to sit.otherthan that nice but I will not be back until they get organization with their staff.
3,"In the course of 6 nights I attended 4 events at Barclays Centre. The security guards were not very friendly but got everyone through very quickly. I was surprised when attending events involving sold out crowds how few vendors stayed open for the course of the night. During the Friday night NXT show, there were only two vendors open on the main floor. Now on a positive side the food I had was all very good and the prices were actually not above what I expected. Barclays Centre itself is a small enough arena where just about any seat you get is a good seat. The sound was also was very good. I’d attend future events at this arena."
3,"The arena is beautifully set up, great access to the subway and eateries. The venue is clean and well maintained but the price they charge for beverages is borderline criminal. Absolutely disgraceful. Didn't eat anything over the 4 nights I visited in a 5 day period so cannot comment on it although the pricing appeared more reasonable there.Obviously if you want to attend an event here you will just have to suck it up and pay $14+ for a beer."
5,"Great venue. No bad seats in the house. Great food. Since it’s opening, the events have improved. The only negative is the parking. Unless you want to either go nuts trying to find a place, or go broke trying to pay a parking lot, your best bet is public transportation. While there is a short walk to Juniors, for the best cheese cakes in the entire world. Worth the walk."
4,"Came here for Dwyane Wade's last game against the Nets. The sight lines were good, and getting in was a breeze. No bad seats, but I would sit in the lower bowl, fyi. Getting to your seats is easy, and they're comfortable. The audio was great,  and easy to hear. The food was good, but beer &amp; liquor prices outrageous, even compared to other NBA venues. Connected with Barclays Ctr. train station right outside the door, so use that to get there and to leave. Don't even think about driving here, because we didn't even see where the parking lots were."
3,"I was here for 4 events for Wrestlemania week. The arena itself is nice with good views from anywhere, as I sat in 4 different spots from 6th and 1st row upper bowl to floor seats. Beer prices were ridiculous in this place, $14-17 US, and the fact that they only do credit card at most vendors is bad for business as well."
4,Really nice venue - we were on Level 2 and could see action well. Really nice design. Only downside is drinks prices.
4,went to see my first hockey game there. it was such a great experience. although i don't know much about hockey it was quite an enjoyable game
3,"I went to a comedy show here on the night of April 12,2019.The show itself was great.The venue however could use some improvement,with consideration for the thousands of people who visit.The space between the seats is too narrow.Women's knees were actually an inch away from touching the back of the seat in front of them.The seats are also cheaply made,resembling more of a cloth covered folding chair.I had the misfortune of having a large bodied person seated on the left of me,whose meaty thigh spilled over onto the edge of my chair!I had to actually turn my body to the right to avoid his from smashing against mine.Hopefully the seating is better for different types of events.Otherwise,we will not attend anymore events at this venue."
4,"Visited here during a recent trip to New York for an event and is definitely the best arena I've visited. Massive ease getting to it with the subway right outside, really smooth getting in thanks to great stewarding. Easy to find seats which were comfy and had a drink holder for each seat and the whole arena inside and out is just stunning to look at."
3,"Went to see the Nets play the Toronto Raptor. It takes 2.5 hrs to play a 48 minute game.  Wow. Nice Centre, very clean and lots of staff. Food is ok ish although the price of the beer is out of this world and probably more than the Ritz Carlton. Really can’t understand that, bad one and then enjoyed water for the rest of the evening."
5,The Barclays center is a wonderful place. I am handicap and the staff went above and beyond to help.
3,"It's better than that rundown dump across the river and self proclaimed ""world's most famous arena"", but this could have been done so much better. The space has average acoustics for concerts and there are some seats with bad sight lines.However, if you have a good seat, the views are very good and the food choices aren't bad. A solid average rated arena"
4,"I was in Brooklyn for a college basketball tournament, so got to spend a few days in the area.  The arena itself is well designed, intimate, and very easy to maneuver around.  We walked in one day from Manhattan, over the Brooklyn Bridge.  3 mile walk from Wall Street and the weather was great, so the bridge walk is an adventure in itself and the walk delightful.Around the arena that are the usual options of sports themed places to get some basic food and pre or post game drinks.  McMahons, The Kings Beer Hall and Wolf and Deer are three options.The arena itself is simple in design.  There is a luggage storage room in the arena if you are traveling with your bags, and this became helpful for one of our group.  The Atlantic Terminal subway station is connected with the arena and we used it a couple of times to get in and out of Manhattan.  Very simple to use.Decent bars inside Barclay's, and sightlines were great in the arena.  Can't comment on food options.  Overall a good, modern and comfortable arena.  Staff were well trained and courteous.  We had a great time in Brooklyn!"
5,Great arena with good facilities and good.view.from all . A good experience overall. The food.was.ok.and the arena is well.linked with subway close
5,Our last visit here was for the Rock and Roll Hall of Fame Ceremony.  Its a great venue to see any show.  We are usually in a private box above the seats but there are so many large screens that where ever you sit you are fine!
4,"Saw the Rock and roll concert here and a few issues. First, access to watching performers enter was too guarded and you can’t watch the red carpet event from outside. The American Express vip entrance was moved without notice. The sound system was excellent but the ushers were talking to each other during the show."
2,"I'm giving this a two for the cheap seats.  I was sitting in section 222.  I'm barely 5'7'' and there is NO leg room.  The section is exceeding steep and if you need to leave your seat for any reason, it's very difficult to maneuver to the aisles.   You basically have to hold onto the people you are passing to avoid falling.Other than that, the concessions, while expensive, are tasty and there is wide selection, the bathrooms were very clean, the staff is helpful and friendly and it's very easy to access the arena via public transportation."
3,This is a new facility so my expectations were high.  We walked the entire concourse to look at all of the food options.  There were quite a few choices.  We opted for the burgers.  The food was mediocre at best and quite disappointing.  You expect higher prices in this type of venue but $7 for a 16oz bottle of water seemed just a little high.The seating was uncomfortable.  The seats were very narrow and there was no leg room.  We were in the middle of a very long row and every time someone tried to get in or out it was difficult for them to get by.The sight lines were good and numerous screens allowed you to see everything that was going on.  The ceremony was still great even though it was difficult to sit there for five hours without my legs getting cramped.
5,Getting in was easy and there were plenty of concession stands to handle the crowds.  Good variety of food and drink.  Comfortable seats and good veiwing.
5,We visited here for a Brooklyn Nets nba basketball game. Great atmosphere fantastic stadium full of typical razzamatazz.
5,"Came to see Elton John and used mass transportation, train to Penn Station, #2 Subway to Barclay Center.  It was perfect!  So happy with it all.  People were so nice and helpful.  Barclay is a beautiful venue and highly recommend it!"
4,"I had been to Barclays to see concerts before. The seats are spacious and the stadium is easy to get around in. This was my first time at a Nets Game. The energy was fantastic and the game was very exciting. The consetions were rediculously expensive. Credit is the only form of payment,  they didn’t accept cash. All in all we had a great time. I need to catch more games."
5,Great venue for Elton. Easy access in and out. Convenient area for dining and close enough to walk from our hotel.
4,We attended a Brooklyn Nets game here. Easy access from Manhattan via the subway and Atlantic Avenue. Large venue but higher level seating is challenging and a bit cramped. Still an enjoyable experience capped off with a Nets win.
5,"Saw the Nets play twice at the Barclay Centre on our trip to New York. Stadium is fantastic, great atmosphere and queues to get in were quick and efficient, so we weren't standing in the cold for too long! Will definitely return to watch the Nets the next time we are in Brooklyn!"
5,"We came here on the 6th March to watch the Brooklyn Nets- Cleveland Cavaliers game. The Barclays Center is easily accessed by the metro, and it is literally outside the station. The queue was long when we got there, but the wait to get inside wasn't too long. We had seats quite high up, but still had a good view. Drinks are very expensive, but we were expecting that so it wasn't an issue. I would definitely come back."
4,"My son and friends attended a hockey game at Barclays Center in Brooklyn, NY, and although the game was great, the venue was just “okay”. The location was convenient, just a few blocks from the railroad. The arena itself was nice, clean and well lit. Where the venue receives a lower score was the concession stands. After the second period, the stands ran out of food. Nathan’s had no more hot dogs, the pizza and sandwich stands closed down. ?? But there was plenty of beer for sale though! (liquid lunch) So if you attend an event at this location, make sure eat before you go or order your food early, or you may just go home hungry."
4,"We were recently in town for a basketball tournament at Barclays. The venue is easily accessible by public transportation.  Plenty of security around who were very helpful with directions. Getting an Uber to and from was simple even in congested traffic. The venue itself was very clean, lots of restrooms, very comfortable and roomy seats (didn’t feel squished in). The staff was very friendly. But the concessions were not good at all. While the food tasted ok the price points were outrageous leaving us to find somewhere else to eat before and after on our return visit. There are plenty of places to eat around the area and I think Barclays must lose a lot of customers as this seemed to be common complaint. Nice venue but not the best food and drinks."
3,defintely a cookie cutter arena.   nothing special compared to arena's around the country i have been to.   and please somebody explain the exterior to me.   this arena is fairly new yet the entire exterior is rust.   how is that attractive.now add to it the exorbinate pricing?   $16 for a soda?   $16 for popcorn?   real family oriented.   couldnt even find a water fountain to get a drink.
4,"Nice sports venue with reasonably comfortable seating in terms of legroom and good line of sight. Ushers are the most friendly I have experienced at a sports stadium or arena. Reasonably easy to get to by subway from NYC (the Q line goes directly there from Times Square or Herald Square). Food and drink prices are high, even by NYC standards. $7 for a bottle of water and $16 for an individual pizza or chicken tenders with fries! Getting gouged for food and drink takes away from the fun of the place."
5,Great venue! I haven't been to Madison Square Garden in ages. Best of entertainment visit this venue. Definitely take in a show here.
4,We wanted to experience either an American football or basketball game whilst in NYC.  There wasn’t a football game on during our stay and went to the Brooklyn Basketball.  The experience was great with all the razzmatazz you’d expect. The food /drinks inside were expensive but that’s the norm in these types of events/arenas wherever you go.  It was easy to find right next to a subway station and entry /exit were well organised. Subway back to Manhattan was busy and felt safe with the crowds even though it was quite late. Recommend it for the experience.
3,"I have been to all NHL arenas in the league and this one is the last on my tour.  Overall based on the in-seat experience and out-of-seat experience Barclays Center is solidly in the bottom 5. The exterior is visually interesting but in a way it has a slightly foreboding appearance with a very dark brown hull that presages the interior. Inside the entire arena is in black from top to bottom including the concourses and the seating. I mean it is 100% black which gave the entire experience a creepy dreary feel. The game I attended had a superhero theme and they had photo opps with costumed characters scattered around the lower concourse which was nice for kids. My seat was in the first row on the second level. All seats had cup holders attached to the back. The seat was pretty comfortable but the seats were quite close together, fairly typical of most of the other arenas. Since I was in the front row there was no seat in front of me but the seat pitch appeared to be pretty good in other rows. However the leg room was quite tight to the wall, making it awkward to stand to let other people step by. On the plus side the sight lines were good and the fidelity of the audio was excellent. I had a very disappointing “grilled” Italian chicken sandwich for $12, a big ripoff. The chicken breast had zero seasoning in it, literally it was a plain pale breast topped with a couple pieces of red pepper and onions with some pesto on a cold bun."
5,"While in New York we took in two hockey games, one at Barclays Centre and one at MSG. The tickets at Barclays were cheaper and much better value allowing us much closer to the action than at MSG. Personally we preferred the feel here, it didn't seem as commercial."
5,Great seating. Affordable for the show we saw. Lots of bar options. First I have seen in a concert facility. I liked it. Clean bathrooms for the most part. Lots of Taxis available to provide transportation. Great experience.
2,Well been there done that. Where was the atmosphere and show. The sound was low and it actually made me regret going there. Choose another stadium. I guess there is a reason for the higher status off Rangers
5,"Watched the Nets game on March 1st. It was an amazing experience, besides the $22 drinks and $15 boneless wings. Otherwise amazing."
2,"Went here to watch the Nets play. It was cold, and there was a line to get in from near the subway stop. Seemed to be moving quickly, but staff urged us to move to a side entrance instead. This was a shorter line but it took FOREVER to get in. Like seriously, all other stadiums I have gone to move faster. So I was quite cold and also mad cause I missed tip off.As for watching the game, sight lines are not as good as other arenas, like in Boston and Chicago. Seats are steeper walking up, but still, my view could be blocked by people in rows 2 or 3 or more in front of me. This doesn't happen to me in other arenas."
4,If you love sport like me then an NBA game is always a treat! Went to see the Brooklyn Nets v Washington Wizards! Got the subway No. 2 line from Manhattan to Atlantic Avenue/Barclays Center stop. It comes up right at the center which is very convenient. The center is great for a game although the beers were very expensive $15 for a can of beer plus a tip is expensive for a group. The sports shop there was very good so buy plenty of gear if you want to. Overall a very good night even though the Nets lost!
3,"Easily accessible. Quick entry and friendly staff. Decent beer selection, average prices for a sports venue in NY. Haven’t had a chance to try any food yet, we’ll save that for the next trip. Obviously not as grand as a place like MSG but it’s a fun little venue. Would love to see it really packed, probably has a totally different atmosphere."
5,"Great venue and view from all seats ,the game was exciting and very entertaining as it was our first game and  the atmosphere was loud and crazy .well worth going if your in New York .we got the subway there and back with no issues ."
5,"My kids played on the islanders ice as part of the Youth Hockey program. It was an amazing experience for all of us, I ended up as the score and clock keeper; sat at ice level in the booth :)We stayed to see the Islander beat Lightnings.Great place; very modern,  nice and clean. Easy to get to via public transportation; right across the Center are a few places to eat in the Mall, get there easier to avoid long lines."
3,Honestly I am not a big fan of its rustic look. It probably supposed to be like that but to me it just doesn’t look nice. Nevertheless the inside is quite nice. Arena is well lit and as always there are big screens so if you seat up high you would be able to see what’s going on on the stage from the screens.The food and drinks there are super expensive as in all places like that
5,"Brooklyn nets played the Lakers. It was the best night out I have had in ages -so much happening, what a spectacle. I have no interest in. Knowledge of basketball but that didn’t matter, it was a great show from 6.30 to 10.30. Don’t go hungry though, the food is horrendously expensive and pretty bad - $15 for a beer! Everything else - brilliant"
5,"Went to see Brooklyn v Pelicans and what an awesome basketball match it was, great arena and easy to get out of the stadium and home, that’s all you need really."
3,"What comes to mind when leaving Barclays Center after an NBA game is most of all their very dis-organized setup.Right from no information at the entrance to employees shouting information to each other, there is a feeling, that they seem unprofessional.The venue itself is good, and seats are good as well.I would go again though, as the quality of the game and presentation was cool."
5,"The arena was easy to get to and from, despite being close to full it wasn't too hard to move around or leave. The food was okay, but pricey, i think they could have had more variety. The seats were comfortable enough."
4,A great stadium with a subway directly outside.Food was plentiful and seats more spacious than Madison Square Garden.Great atmosphere.Word of warning they do not take cash!!! Make sure you have a card.
4,"Great to see hockey live. Expensive for drinks etc , Metro right outside , great experience . Would return"
5,"Saw the Islanders take on the Ottawa Senators. It was a real surprise, great atmosphere, great stadium, fabulously exciting game and a very nice little Italian across the road for dinner on the way out. On the down side, food and drink was very expensive, $45 for 2 beers and 2 hot small hot dogs!  Also took the subway on the way home to High St and then walked across the Brooklyn Bridge....magic"
5,We had tickets at the Barclays centre to watch the ice hockey great stadium absolutely massive with lots of food venders and bars to get drinks and snacks.Atmosphere was great
5,Visited the Barclays Center for the second time to watch an NBA game (Nets versus Jazz). Super convenient location just steps away from a subway stop and many eating/drinking establishments within easy walking distance. The arena is well designed with very comfortable seating and nice acoustics.
4,This arena is well laid out with great concessions including Starbucks drinks.  They have a bar that offers views into the arena.  Nice hotels within walking distance.
5,Went to see a basketball match here.  I’d never seen one and didn’t know much about the game.  We purchased online tickets only a few days before.  Our seats were quite high up but our view was great. Enjoyable game to watch and even as a newby to the sport I could follow what was going on.  Great for kids of all ages.  Food and drink is quite expensive inside the venue so eat before you go.
5,"Very easy to travel from the subway to the center its actually opposite. Arrive 30 mins early to avoid the long que.A fantastic atmosphere and very entertaining, much more than a basketball game. i would say the show including the game lasted around 2.5 hours. a great way to spend a Friday night. Food and drink is expensive but this is to be expected, anything like a football game here in the UK.i would recommend for the experience of a basketball game if your  staying in NYC"
4,"We visited the centre during our Christmas trip while staying in Manhattan.Getting the tube to the arena was easy from Manhattan, I can’t comment on other forms of transport.On arrival to the arena was approached by many people selling tickets on the street well above face value. One guy lead us to believe that the ticket window was sold out, reviewing the internet shortly before we knew this not to be true. One of the touts we noticed was showing other people screen shots of sold out ticket amounts to put pressure on people to part with their cash. It was still crazy busy outside the venue even though the game was starting. We queued up at the window and brought 3 tickets at face value we paid $37 per ticket to be at the front of the upper tier which was a few dollars more than being further back. The cheapest ticket I believe was about $34.The seats were great and at that price compared to what Maddison square gardens charge for the same sort of view which is probably an extra $80 on top per ticket. This is an excellent experience at a great family friendly price. Only grumble was there was only a few ticket windows open and the queue went right around the building to get in once you had your tickets.If I was to go again my top tip would be same seats and pay in advance to save time. We arrived in good time but it was pretty much the end of the first quarter when we got inside."
5,My husband and I went to see Phil Collins here in the fall.  We had seen him at the Wells Fargo Center in Philly and the concert was so great we got tickets for the show in NYC.  Our seats were excellent and were less expensive because they were on the side of the stage.  Which also allowed us to get up and dance.  We had excellent drinks made by a very nice bartender.  Can't wait until someone else we really like is playing there.
4,"I have had pretty good experiences at Barclays Center.Barclays is a decent size venue, so they typically host some big acts and a lot of moderately popular ones.  Most times we've attended shows there, security was pretty quick to get through.  If the entrance on Dean Street is open, use that because it's typically much quicker than the main entrance opposite the subway station. I don't consider the acoustics and sound quality of this venue to be quite as good as The Garden or Prudential Center, but we've had ok experiences.  We've seen everything from pop to orchestral music to alternative here, and I'd say the orchestral music sounded the best.  There are a lot of seat options with good views at Barclays.  We generally like front of section and/or aisle seats.  If you're in the 200 level side sections, avoid rows 5-12, especially on the aisle because your view is often blocked by people navigating around the stairwell.  We had tickets in Section 222, row 10, seats 25-26 (aisle toward stage) for Alt 92.3's Not So Silent Night Concert and were constantly having to look around people who were lingering on the stairs and taking forever to get to their seats.Price-wise, tickets at Barclays Center are usually cheaper than at Madison Square Garden.  We attended two dates of Ariana Grande's Honeymoon Tour and bought tickets for two dates of her Sweetener Tour; one for each at the Garden and one at Barclays.  Each time, the tickets for the show at Barclays Center were $50-80 less per ticket than at the Garden for comparable seats (200 level, front of section/aisles).  on average, we have paid $106 per ticket for shows we've seen at Barclays.  The cheapest was $75 per ticket for The Legend of Zelda Symphony of the Goddesses 2015 Tour.  The most expensive was $171 per ticket for Ariana Grande's Sweetener Tour in 2019.  If you can get presale tickets, do so.  Tickets at Barclays get picked up by scalpers pretty quickly and we've had slightly better luck during presales.Barclays Center is very convenient to travel to with a subway station directly in front of the venue and parking garages nearby.  Overall, though Brooklyn isn't the most convenient location for us to travel to from New Jersey, Barclays is a good option for concerts, especially when you can save a few bucks over other locations for shows playing elsewhere in the area."
4,"First time there, my bestie &amp; I went for a concert.  Very fun! But be careful, it's very steep.  At times while standing &amp; dancing, I thought I was going to fall over LOL"
5,"Great place to see Hockey and Basketball. Well organized and easy to find your way inside. Come early, lines can be long because of security checking."
4,We attended our first Nets game which was great fun as all basketball is in the USA. Easy to get in and to get tickets but as it is early in the season and Nets are kinda so so it was not surprising. Food is pretty good at Barclays as I have been once before to some fights but it is expensive. This is a great fun way to spend a. Hint with pals  your partner or a family but not a cheap option. Def go though!!
5,We attended a concert here recently and was not disappointed. The acoustics were good and venue spacious.  The only down side was that beer was rediculosly priced at 15 dollars for a can of lager so we only had the one!
4,We took a trip over from NYC to see the Islanders play and got super cheap tickets but were super surprised at the price of beer.  It cost us $29 USD for a bud light and angry orchard.  We paid $30 USD for our two tickets.  We were also surprised that the vendors were mostly closed and really wondered why one whole section was empty.  We wandered over and realized why!  You can't see the net!  Clearly not meant for hockey!  Over all a good experience but pretty pricey drinks!  A bucket of popcorn was $15.  It was refillable but still how much can one eat?  A bit much for my taste!
5,"We where staying in Brooklyn so decided before we left the UK to take in a game. It was the day after Thanksgiving and mega busy,This place is massive but well signed and the staff where really helpful. A bit pricey to say the least..$13 for one can of beer but never mind as it was a one off thing.... We watched the Brooklyn Nets....they lost!"
4,"Sports is not really my thing. We came to see the Brooklyn Nets as a compromise for going to a Broadway show. It blew my mind. As always American production blows everything else out of the water. Basketball is a great, fast moving game but my favourite thing was the cheerleaders with attitude. Drinks were slightly pricey and the queue to get in was really long, but half the price of the Mets!"
